Phylum	Group	Sum
p__Kickxellomycota	arabidopsis_thaliana_Sweden_soil	1.19047619047619e-05
p__Monoblepharomycota	arabidopsis_thaliana_Sweden_soil	0
p__Mortierellomycota	arabidopsis_thaliana_Sweden_soil	0.00925
p__Mucoromycota	arabidopsis_thaliana_Sweden_soil	0.031047619047619
p__Olpidiomycota	arabidopsis_thaliana_Sweden_soil	0.0108333333333333
p__Rozellomycota	arabidopsis_thaliana_Sweden_soil	0.00398214285714286
p__Zoopagomycota	arabidopsis_thaliana_Sweden_soil	0
Unassigned	arabidopsis_thaliana_Sweden_soil	0.0199880952380952
p__Aphelidiomycota	arabidopsis_thaliana_Sweden_rhizoplane	0.000142857142857143
p__Ascomycota	arabidopsis_thaliana_Sweden_rhizoplane	0.808085714285714
p__Basidiobolomycota	arabidopsis_thaliana_Sweden_rhizoplane	0
p__Basidiomycota	arabidopsis_thaliana_Sweden_rhizoplane	0.120757142857143
p__Chytridiomycota	arabidopsis_thaliana_Sweden_rhizoplane	0.00261428571428571
p__Entomophthoromycota	arabidopsis_thaliana_Sweden_rhizoplane	8.57142857142857e-05
p__Entorrhizomycota	arabidopsis_thaliana_Sweden_rhizoplane	0.000557142857142857
p__Glomeromycota	arabidopsis_thaliana_Sweden_rhizoplane	0.00747142857142857
p__Kickxellomycota	arabidopsis_thaliana_Sweden_rhizoplane	0
p__Monoblepharomycota	arabidopsis_thaliana_Sweden_rhizoplane	4.28571428571429e-05
p__Mortierellomycota	arabidopsis_thaliana_Sweden_rhizoplane	0.0106
p__Mucoromycota	arabidopsis_thaliana_Sweden_rhizoplane	0.0121
p__Olpidiomycota	arabidopsis_thaliana_Sweden_rhizoplane	0.0249428571428571
p__Rozellomycota	arabidopsis_thaliana_Sweden_rhizoplane	0.0015
p__Zoopagomycota	arabidopsis_thaliana_Sweden_rhizoplane	0
Unassigned	arabidopsis_thaliana_Sweden_rhizoplane	0.0111
p__Aphelidiomycota	arabidopsis_thaliana_Sweden_rhizosphere	7.69230769230769e-05
p__Ascomycota	arabidopsis_thaliana_Sweden_rhizosphere	0.783
p__Basidiobolomycota	arabidopsis_thaliana_Sweden_rhizosphere	0
p__Basidiomycota	arabidopsis_thaliana_Sweden_rhizosphere	0.112423076923077
p__Chytridiomycota	arabidopsis_thaliana_Sweden_rhizosphere	0.00891346153846154
p__Entomophthoromycota	arabidopsis_thaliana_Sweden_rhizosphere	1.92307692307692e-05
p__Entorrhizomycota	arabidopsis_thaliana_Sweden_rhizosphere	0.000442307692307692
p__Glomeromycota	arabidopsis_thaliana_Sweden_rhizosphere	0.00719230769230769
p__Kickxellomycota	arabidopsis_thaliana_Sweden_rhizosphere	2.88461538461538e-05
p__Monoblepharomycota	arabidopsis_thaliana_Sweden_rhizosphere	0
p__Mortierellomycota	arabidopsis_thaliana_Sweden_rhizosphere	0.0140769230769231
p__Mucoromycota	arabidopsis_thaliana_Sweden_rhizosphere	0.0285096153846154
p__Olpidiomycota	arabidopsis_thaliana_Sweden_rhizosphere	0.0127980769230769
p__Rozellomycota	arabidopsis_thaliana_Sweden_rhizosphere	0.00872115384615385
p__Zoopagomycota	arabidopsis_thaliana_Sweden_rhizosphere	0
Unassigned	arabidopsis_thaliana_Sweden_rhizosphere	0.0237980769230769
p__Aphelidiomycota	arabidopsis_thaliana_Sweden_root	0.000380952380952381
p__Ascomycota	arabidopsis_thaliana_Sweden_root	0.780654761904762
p__Basidiobolomycota	arabidopsis_thaliana_Sweden_root	0
p__Basidiomycota	arabidopsis_thaliana_Sweden_root	0.0988571428571429
p__Chytridiomycota	arabidopsis_thaliana_Sweden_root	0.00789285714285714
p__Entomophthoromycota	arabidopsis_thaliana_Sweden_root	0
p__Entorrhizomycota	arabidopsis_thaliana_Sweden_root	0
p__Glomeromycota	arabidopsis_thaliana_Sweden_root	0.0252142857142857
p__Kickxellomycota	arabidopsis_thaliana_Sweden_root	7.14285714285714e-05
p__Monoblepharomycota	arabidopsis_thaliana_Sweden_root	0
p__Mortierellomycota	arabidopsis_thaliana_Sweden_root	0.00891666666666667
p__Mucoromycota	arabidopsis_thaliana_Sweden_root	0.000571428571428571
p__Olpidiomycota	arabidopsis_thaliana_Sweden_root	0.053547619047619
p__Rozellomycota	arabidopsis_thaliana_Sweden_root	0.00323809523809524
p__Zoopagomycota	arabidopsis_thaliana_Sweden_root	0
Unassigned	arabidopsis_thaliana_Sweden_root	0.0206547619047619
p__Aphelidiomycota	arabidopsis_thaliana_Italy_soil	0
p__Ascomycota	arabidopsis_thaliana_Italy_soil	0.929
p__Basidiobolomycota	arabidopsis_thaliana_Italy_soil	0
p__Basidiomycota	arabidopsis_thaliana_Italy_soil	0.05621875
p__Chytridiomycota	arabidopsis_thaliana_Italy_soil	0.0003125
p__Entomophthoromycota	arabidopsis_thaliana_Italy_soil	0
p__Entorrhizomycota	arabidopsis_thaliana_Italy_soil	0
p__Glomeromycota	arabidopsis_thaliana_Italy_soil	0.0004375
p__Kickxellomycota	arabidopsis_thaliana_Italy_soil	0
p__Monoblepharomycota	arabidopsis_thaliana_Italy_soil	0
p__Mortierellomycota	arabidopsis_thaliana_Italy_soil	0.0055625
p__Mucoromycota	arabidopsis_thaliana_Italy_soil	0.0011875
p__Olpidiomycota	arabidopsis_thaliana_Italy_soil	0.005
