ID	Exemplar	Cluster	Cluster_size
ASV_1117	ASV_1011	68	26
ASV_1168	ASV_1011	68	26
ASV_1545	ASV_1011	68	26
ASV_1604	ASV_1011	68	26
ASV_1641	ASV_1011	68	26
ASV_1675	ASV_1011	68	26
ASV_1749	ASV_1011	68	26
ASV_1762	ASV_1011	68	26
ASV_1767	ASV_1011	68	26
ASV_1828	ASV_1011	68	26
ASV_1881	ASV_1011	68	26
ASV_1929	ASV_1011	68	26
ASV_2051	ASV_1011	68	26
ASV_2658	ASV_1011	68	26
ASV_2772	ASV_1011	68	26
ASV_3265	ASV_1011	68	26
ASV_3568	ASV_1011	68	26
ASV_4197	ASV_1011	68	26
ASV_4699	ASV_1011	68	26
ASV_731	ASV_1293	69	29
ASV_844	ASV_1293	69	29
ASV_856	ASV_1293	69	29
ASV_972	ASV_1293	69	29
ASV_1001	ASV_1293	69	29
ASV_1293	ASV_1293	69	29
ASV_1302	ASV_1293	69	29
ASV_1521	ASV_1293	69	29
ASV_1620	ASV_1293	69	29
ASV_1753	ASV_1293	69	29
ASV_1756	ASV_1293	69	29
ASV_1849	ASV_1293	69	29
ASV_1930	ASV_1293	69	29
ASV_1947	ASV_1293	69	29
ASV_1979	ASV_1293	69	29
ASV_2068	ASV_1293	69	29
ASV_2126	ASV_1293	69	29
ASV_2127	ASV_1293	69	29
ASV_2171	ASV_1293	69	29
ASV_2184	ASV_1293	69	29
ASV_2233	ASV_1293	69	29
ASV_2326	ASV_1293	69	29
ASV_2436	ASV_1293	69	29
ASV_2622	ASV_1293	69	29
ASV_3211	ASV_1293	69	29
ASV_3360	ASV_1293	69	29
ASV_3421	ASV_1293	69	29
ASV_3450	ASV_1293	69	29
ASV_3745	ASV_1293	69	29
ASV_376	ASV_1367	70	12
ASV_406	ASV_1367	70	12
ASV_1004	ASV_1367	70	12
ASV_1357	ASV_1367	70	12
ASV_1367	ASV_1367	70	12
ASV_1428	ASV_1367	70	12
ASV_1711	ASV_1367	70	12
ASV_2358	ASV_1367	70	12
ASV_2394	ASV_1367	70	12
ASV_2489	ASV_1367	70	12
ASV_2575	ASV_1367	70	12
ASV_2881	ASV_1367	70	12
ASV_1	ASV_1413	71	15
ASV_23	ASV_1413	71	15
ASV_24	ASV_1413	71	15
ASV_145	ASV_1413	71	15
ASV_266	ASV_1413	71	15
ASV_311	ASV_1413	71	15
ASV_437	ASV_1413	71	15
ASV_457	ASV_1413	71	15
ASV_1323	ASV_1413	71	15
ASV_1346	ASV_1413	71	15
ASV_1413	ASV_1413	71	15
ASV_1543	ASV_1413	71	15
ASV_1698	ASV_1413	71	15
ASV_2416	ASV_1413	71	15
ASV_3435	ASV_1413	71	15
ASV_613	ASV_1459	72	11
ASV_1143	ASV_1459	72	11
ASV_1162	ASV_1459	72	11
ASV_1192	ASV_1459	72	11
ASV_1235	ASV_1459	72	11
ASV_1459	ASV_1459	72	11
ASV_1511	ASV_1459	72	11
ASV_1661	ASV_1459	72	11
ASV_1982	ASV_1459	72	11
ASV_2009	ASV_1459	72	11
ASV_2482	ASV_1459	72	11
ASV_702	ASV_1609	73	16
ASV_736	ASV_1609	73	16
ASV_1023	ASV_1609	73	16
ASV_1256	ASV_1609	73	16
ASV_1609	ASV_1609	73	16
ASV_1759	ASV_1609	73	16
ASV_1831	ASV_1609	73	16
ASV_2119	ASV_1609	73	16
ASV_2216	ASV_1609	73	16
ASV_2615	ASV_1609	73	16
ASV_2730	ASV_1609	73	16
ASV_2860	ASV_1609	73	16
ASV_2985	ASV_1609	73	16
ASV_3385	ASV_1609	73	16
ASV_3515	ASV_1609	73	16
ASV_3693	ASV_1609	73	16
ASV_1206	ASV_1745	74	8
ASV_1475	ASV_1745	74	8
ASV_1564	ASV_1745	74	8
ASV_1745	ASV_1745	74	8
ASV_1857	ASV_1745	74	8
ASV_1914	ASV_1745	74	8
ASV_2048	ASV_1745	74	8
ASV_2384	ASV_1745	74	8
ASV_485	ASV_1840	75	18
ASV_668	ASV_1840	75	18
ASV_992	ASV_1840	75	18
ASV_1387	ASV_1840	75	18
ASV_1694	ASV_1840	75	18
ASV_1840	ASV_1840	75	18
ASV_1869	ASV_1840	75	18
ASV_1931	ASV_1840	75	18
ASV_1993	ASV_1840	75	18
ASV_2109	ASV_1840	75	18
ASV_2499	ASV_1840	75	18
ASV_2657	ASV_1840	75	18
ASV_2707	ASV_1840	75	18
ASV_3175	ASV_1840	75	18
ASV_3364	ASV_1840	75	18
ASV_3431	ASV_1840	75	18
ASV_3835	ASV_1840	75	18
ASV_4548	ASV_1840	75	18
