Family	Decrease	P_value	Comparison
Rhodanobacteraceae	0.837011749622334	0.0234392877911225	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Rhodobacteraceae	-1.8000752114943	0.999988303251616	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Rhodocyclaceae	-0.866894386210184	0.969734310628219	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Roseiflexaceae	3.59625586658554	1.48810666352506e-16	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Rubrobacteriaceae	1.82893292480194	5.23256254270519e-06	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Saccharimonadaceae	3.60036194310186	2.86898170740933e-17	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Salisediminibacteriaceae	0.954177726768634	0.0195375885330735	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Sandaracinaceae	2.54361752530163	8.71079487258495e-09	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Saprospiraceae	1.14188127853895	0.00337094686083046	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
SC-I-84	-3.42353121749169	0.999999999999998	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Solibacteraceae	-2.04228219941984	0.999998336108365	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Solimonadaceae	1.37792586218742	0.000400214325096676	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Solirubrobacteraceae	-0.981280753791395	0.987023216041311	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Sphingomonadaceae	-0.81499853626017	0.96268953441961	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Sporichthyaceae	0.0553296970244332	0.451867132739776	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Staphylococcaceae	4.16127467283701	9.07940024423806e-24	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Steroidobacteraceae	-0.587555999144406	0.904514534139638	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Streptomycetaceae	4.64794875107235	6.73044582255843e-24	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Streptosporangiaceae	2.89004792832925	3.05421272348964e-10	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
